iter	RMSE
0	72483.84367
1	68244.6538
2	64299.51834
3	60820.74409
4	57945.37948
5	55232.63497
6	52158.88945
7	49707.69335
8	47213.36875
9	45148.11483
10	43325.73815
11	41414.65602
12	39697.50273
13	38200.2618
14	36875.84788
15	35640.08838
16	34665.73674
17	33686.68729
18	32991.2764
19	32281.15463
20	31345.78291
21	30567.44651
22	29897.77848
23	29219.25342
24	28597.35088
25	27983.31595
26	27478.82484
27	26945.17277
28	26434.36495
29	26031.2238
30	25597.01135
31	25181.03817
32	24862.66367
33	24568.24949
34	24358.71942
35	23990.41996
36	23730.80581
37	23412.84823
38	23110.996
39	22869.35168
40	22604.65335
41	22422.60919
42	22224.19943
43	22081.86597
44	21958.00871
45	21702.15382
46	21373.38002
47	21189.92711
48	21085.20869
49	20976.33348
50	20770.9396
51	20654.82154
52	20548.75238
53	20395.84645
54	20222.68219
55	20003.63971
56	19857.91423
57	19771.54175
58	19705.93632
59	19621.10776
60	19541.14473
61	19387.29149
62	19236.14872
63	19121.13866
64	19045.48593
65	18888.35268
66	18813.15942
67	18774.09468
68	18715.9317
69	18677.27848
70	18551.62911
71	18418.91265
72	18372.89767
73	18350.38705
74	18305.9857
75	18291.99602
76	18270.11565
77	18229.55656
78	18129.90688
79	18083.18815
80	17976.48236
81	17936.62682
82	17824.0144
83	17719.72012
84	17609.44886
85	17503.65753
86	17480.18984
87	17369.78966
88	17352.1223
89	17227.43907
90	17156.60743
91	17109.98587
92	17087.86359
93	17041.15382
94	16910.28864
95	16751.85493
96	16685.5066
97	16545.00054
98	16500.82615
99	16429.20538
100	16387.14404
101	16359.51382
102	16342.16594
103	16296.16838
104	16210.64827
105	16088.46012
106	16053.1132
107	15950.14566
108	15842.12693
109	15788.30245
110	15721.98328
111	15668.13055
112	15603.41134
113	15599.41663
114	15589.16428
115	15528.72376
116	15494.38746
117	15447.03442
118	15398.83093
119	15341.56611
120	15298.73218
121	15197.20894
122	15119.01966
123	15101.28662
124	15075.42758
125	14992.51688
126	14918.87969
127	14842.30759
128	14789.71204
129	14762.72902
130	14728.7282
131	14677.05917
132	14666.20196
133	14652.00674
134	14635.40381
135	14627.04378
136	14619.14805
137	14611.88503
138	14563.57261
139	14531.64864
140	14523.22474
141	14503.32382
142	14441.11423
143	14430.54903
144	14390.71923
145	14349.01647
146	14298.05837
147	14258.02873
148	14193.97739
149	14142.48944
150	14121.1474
151	14114.03146
152	14099.96555
153	14043.55165
154	14012.22944
155	13958.76051
156	13912.43303
157	13876.16581
158	13844.16048
159	13838.41223
160	13795.86723
161	13779.05477
162	13735.20118
163	13706.24755
164	13618.79413
165	13608.86605
166	13581.58911
167	13558.25387
168	13516.06286
169	13482.01463
170	13467.49175
171	13425.802
172	13372.81458
173	13304.61156
174	13252.6948
175	13239.36139
176	13215.07731
177	13184.59219
178	13125.195
179	13093.88241
180	13055.09149
181	13030.97281
182	12967.55536
183	12918.58757
184	12915.27962
185	12910.93878
186	12891.87363
187	12850.90295
188	12837.16737
189	12829.86719
190	12800.76569
191	12787.8485
192	12720.37892
193	12717.41078
194	12705.24889
195	12675.17026
196	12661.63611
197	12645.68391
198	12617.42645
199	12605.0919
200	12582.0567
201	12550.59792
202	12524.52089
203	12478.45766
204	12460.55938
205	12427.79416
206	12406.69611
207	12372.95169
208	12348.07071
209	12312.63715
210	12277.76625
211	12264.71461
212	12254.42318
213	12223.33043
214	12205.25906
215	12143.44262
216	12056.79581
217	12053.29089
218	12042.66189
219	12003.8391
220	11940.32039
221	11922.85175
222	11917.31037
223	11874.8548
224	11839.22256
225	11770.16647
226	11761.83684
227	11738.68438
228	11718.64941
229	11715.41879
230	11699.28356
231	11645.1972
232	11604.65999
233	11576.94335
234	11546.35055
235	11524.55784
236	11500.25729
237	11463.92599
238	11435.85037
239	11434.90593
240	11432.74922
241	11428.26494
242	11403.58002
243	11359.81359
244	11328.5287
245	11299.50715
246	11266.44472
247	11254.22939
248	11203.80282
249	11184.76009
250	11167.28623
251	11129.21097
252	11098.7541
253	11087.74366
254	11076.63706
255	11069.48175
256	11039.91499
257	11035.48405
258	11000.78903
259	10980.07712
260	10945.50208
261	10908.33106
262	10894.95705
263	10893.93421
264	10872.91515
265	10864.29733
266	10836.59544
267	10780.75134
268	10771.81665
269	10722.69369
270	10712.07353
271	10669.77308
272	10653.4094
273	10646.43102
274	10602.68169
275	10586.39569
276	10521.02441
277	10519.49373
278	10475.52719
279	10473.69515
280	10449.36089
281	10447.96359
282	10445.16
283	10437.27501
284	10410.96664
285	10392.00639
286	10374.96884
287	10369.64852
288	10352.35568
289	10308.23509
290	10262.75437
291	10235.82169
292	10214.46249
293	10197.66507
294	10191.70175
295	10186.61185
296	10183.57358
297	10182.38685
298	10173.86503
299	10165.98763
300	10149.4298
301	10131.22693
302	10129.85075
303	10120.94255
304	10116.42733
305	10111.31704
306	10101.63915
307	10056.15224
308	10043.86142
309	10018.70627
310	9995.631002
311	9976.644445
312	9971.198571
313	9941.371562
314	9934.403189
315	9933.70481
316	9932.898189
317	9899.943153
318	9876.946385
319	9853.960583
320	9838.592564
321	9831.524561
322	9811.076004
323	9810.437876
324	9798.287436
325	9771.111296
326	9763.168828
327	9749.874809
328	9731.253871
329	9714.009502
330	9666.82347
331	9655.901887
332	9655.631539
333	9614.606434
334	9585.081083
335	9572.197644
336	9546.98636
337	9528.271695
338	9489.525546
339	9483.520806
340	9465.225187
341	9445.787525
342	9443.606166
343	9431.997959
344	9422.262182
345	9396.050643
346	9357.792409
347	9340.72202
348	9338.077148
349	9330.971386
350	9328.356249
351	9295.663906
352	9270.431117
353	9238.069086
354	9212.335484
355	9197.186994
356	9189.89138
357	9176.265923
358	9166.480923
359	9150.500326
360	9134.074786
361	9123.239202
362	9099.09931
363	9069.976724
364	9047.663597
365	9041.648552
366	9036.534437
367	9014.544165
368	8991.724373
369	8944.685386
370	8926.967118
371	8902.067232
372	8874.874879
373	8862.422281
374	8855.993901
375	8818.25683
376	8816.70126
377	8789.087594
378	8770.366425
379	8745.491665
380	8731.164128
381	8706.965171
382	8700.380028
383	8690.245762
384	8683.305472
385	8673.944451
386	8672.961829
387	8658.78991
388	8643.697978
389	8637.44782
390	8617.279026
391	8600.070031
392	8587.922072
393	8580.906158
394	8580.184194
395	8576.528678
396	8576.47003
397	8566.557453
398	8562.368987
399	8554.325184
400	8543.411152
401	8519.436896
402	8493.203066
403	8490.619153
404	8475.99368
405	8460.339966
406	8431.511297
407	8421.815165
408	8410.894311
409	8388.783922
410	8364.809661
411	8354.747124
412	8347.311641
413	8329.915644
414	8311.336522
415	8284.944168
416	8274.790699
417	8257.338634
418	8246.150574
419	8236.67894
420	8215.82349
421	8205.412544
422	8200.890935
423	8157.120299
424	8138.566221
425	8104.393489
426	8082.702829
427	8071.766001
428	8037.713515
429	8007.239098
430	7983.483725
431	7980.46119
432	7958.190531
433	7952.879321
434	7952.347187
435	7928.017835
436	7911.943063
437	7901.506226
438	7876.928759
439	7859.168752
440	7835.345714
441	7814.126744
442	7795.954869
443	7782.291031
444	7765.513864
445	7750.654725
446	7734.055959
447	7707.083069
448	7706.735326
449	7705.500752
450	7704.139486
451	7698.263236
452	7680.545491
453	7665.974167
454	7655.216332
455	7650.48269
456	7637.703253
457	7637.114416
458	7625.82067
459	7606.607683
460	7592.387998
461	7581.061957
462	7579.419509
463	7579.162955
464	7577.166934
465	7560.61428
466	7549.489935
467	7548.924976
468	7532.590059
469	7508.087661
470	7496.173129
471	7493.302846
472	7488.116812
473	7467.241376
474	7450.404511
475	7439.519496
476	7428.523143
477	7419.823311
478	7413.337227
479	7396.955931
480	7380.905865
481	7357.505496
482	7350.204701
483	7349.536958
484	7347.485023
485	7347.006649
486	7320.830228
487	7296.545019
488	7283.314062
489	7272.402066
490	7271.546409
491	7256.087422
492	7242.267272
493	7214.444551
494	7209.759913
495	7193.152512
496	7176.699483
497	7176.39579
498	7167.477076
499	7156.583596
500	7143.148151
501	7130.461477
502	7129.912064
503	7122.802018
504	7107.786383
505	7084.547535
506	7078.706652
507	7076.62282
508	7057.900449
509	7047.990122
510	7045.860253
511	7028.944013
512	7006.723797
513	6993.113817
514	6980.624477
515	6975.363175
516	6966.100702
517	6946.830953
518	6936.325878
519	6925.918893
520	6913.011176
521	6898.314063
522	6882.281021
523	6873.335624
524	6856.406731
525	6844.920597
526	6841.810176
527	6837.301582
528	6823.283703
529	6814.061415
530	6780.455309
531	6774.880844
532	6770.709651
533	6754.164608
534	6751.813365
535	6739.113342
536	6728.682348
537	6715.897279
538	6705.697601
539	6704.651721
540	6694.132096
541	6692.347032
542	6687.219373
543	6671.051987
544	6658.864485
545	6641.331437
546	6627.415692
547	6614.22745
548	6603.894565
549	6592.677322
550	6578.681213
551	6572.808234
552	6564.255553
553	6552.010458
554	6540.646828
555	6535.460648
556	6528.225436
557	6521.721726
558	6517.262526
559	6515.331049
560	6514.448941
561	6509.343866
562	6495.255475
563	6480.235217
564	6470.488338
565	6466.379495
566	6460.448787
567	6442.057158
568	6435.839467
569	6434.954727
570	6430.731774
571	6402.60759
572	6389.334741
573	6375.443139
574	6367.052609
575	6353.699722
576	6353.171225
577	6346.717473
578	6335.372203
579	6325.516828
580	6315.727747
581	6314.21708
582	6313.585776
583	6309.015756
584	6292.094565
585	6262.081823
586	6256.398263
587	6244.089454
588	6238.3328
589	6229.272488
590	6220.679375
591	6207.250677
592	6202.785233
593	6198.441085
594	6192.305521
595	6189.43965
596	6183.5113
597	6168.795782
598	6160.920282
599	6152.516396
600	6148.203567
601	6135.414331
602	6127.777528
603	6123.941214
604	6113.270269
605	6108.7237
606	6099.577385
607	6090.162166
608	6084.723011
609	6072.682995
610	6056.783583
611	6048.220073
612	6039.822725
613	6021.006624
614	6008.775807
615	5990.876904
616	5979.156352
617	5973.019341
618	5955.496735
619	5949.248542
620	5933.812577
621	5922.539368
622	5911.842396
623	5904.619427
624	5900.310959
625	5888.877565
626	5872.787474
627	5864.249265
628	5858.453281
629	5855.582778
630	5846.471904
631	5844.908455
632	5831.746651
633	5823.711807
634	5798.123991
635	5791.693416
636	5777.700491
637	5776.883019
638	5770.939101
639	5761.001951
640	5755.861773
641	5746.932431
642	5745.521511
643	5745.096197
644	5740.85376
645	5734.61135
646	5732.949738
647	5732.720424
648	5721.668891
649	5720.713551
650	5718.864204
651	5716.761854
652	5714.536711
653	5703.143673
654	5695.6656
655	5688.556447
656	5681.835093
657	5657.005166
658	5656.278121
659	5652.532947
660	5646.517191
661	5636.901748
662	5634.886181
663	5617.101163
664	5606.621415
665	5599.258005
666	5592.250421
667	5584.847682
668	5577.709391
669	5563.216669
670	5553.956101
671	5552.949801
672	5548.485882
673	5539.019933
674	5529.483034
675	5524.668741
676	5521.156483
677	5513.813854
678	5508.564317
679	5504.162803
680	5500.795002
681	5490.215229
682	5479.608034
683	5477.559442
684	5471.857539
685	5468.120466
686	5466.86443
