iter	Passed	Remaining
0	1	1955
1	3	1573
2	4	1440
3	5	1422
4	6	1338
5	8	1399
6	9	1379
7	10	1342
8	11	1308
9	12	1286
10	13	1257
11	15	1246
12	16	1264
13	17	1261
14	18	1237
15	19	1224
16	20	1213
17	21	1196
18	23	1195
19	24	1194
20	25	1187
21	26	1177
22	27	1176
23	28	1171
24	29	1169
25	31	1172
26	32	1170
27	33	1165
28	34	1165
29	35	1161
30	36	1155
31	38	1155
32	39	1157
33	40	1153
34	41	1146
35	42	1139
36	43	1135
37	44	1136
38	46	1138
39	47	1135
40	48	1135
41	49	1131
42	50	1130
43	51	1123
44	53	1125
45	54	1124
46	55	1121
47	56	1118
48	57	1117
49	58	1113
50	59	1111
51	60	1109
52	62	1113
53	63	1110
54	64	1108
55	65	1104
56	66	1098
57	67	1095
58	68	1091
59	70	1097
60	71	1097
61	72	1094
62	73	1091
63	74	1088
64	75	1088
65	76	1089
66	78	1090
67	79	1089
68	80	1086
69	81	1083
70	82	1083
71	83	1080
72	84	1078
73	86	1079
74	87	1078
75	88	1073
76	89	1070
77	90	1068
78	91	1064
79	92	1064
80	93	1062
81	94	1062
82	96	1062
83	97	1059
84	98	1055
85	99	1059
86	101	1062
87	102	1059
88	103	1055
89	104	1053
90	105	1052
91	106	1049
92	107	1049
93	108	1045
94	109	1042
95	110	1040
96	111	1037
97	112	1033
98	113	1031
99	114	1027
100	115	1032
101	116	1030
102	118	1027
103	119	1026
104	120	1023
105	121	1022
106	122	1020
107	123	1021
108	124	1019
109	125	1016
110	126	1014
111	127	1012
112	128	1010
113	129	1008
114	131	1010
115	132	1008
116	133	1006
117	134	1004
118	135	1002
119	136	1000
120	137	997
121	138	999
122	139	996
123	140	994
124	141	992
125	142	989
126	143	987
127	144	986
128	146	987
129	147	986
130	148	984
131	149	982
132	150	981
133	151	979
134	152	977
135	153	976
136	154	975
137	155	972
138	156	970
139	157	970
140	158	967
141	159	965
142	160	964
143	162	964
144	162	959
145	163	957
146	164	955
147	165	954
148	166	952
149	167	950
150	168	949
151	169	947
152	170	944
153	171	944
154	172	943
155	173	940
156	174	938
157	175	937
158	177	936
159	178	935
160	178	931
161	179	930
162	180	929
163	181	927
164	182	925
165	183	920
166	184	918
167	185	917
168	186	916
169	187	913
170	188	911
171	188	909
172	189	906
173	190	906
174	192	906
175	193	905
176	194	903
177	195	901
178	196	900
179	197	898
180	198	896
181	199	895
182	200	895
183	201	893
184	202	892
185	203	891
186	204	889
187	205	888
188	206	886
189	207	885
190	208	883
191	209	882
192	210	881
193	211	879
194	212	877
195	213	876
196	214	875
197	215	874
198	217	873
199	217	871
200	219	870
201	220	869
202	220	867
203	221	865
204	222	864
205	223	863
206	225	862
207	226	860
208	226	858
209	227	857
210	228	856
211	229	854
212	231	854
213	232	852
214	233	851
215	234	850
216	235	848
217	236	846
218	237	845
219	238	844
220	238	841
221	239	838
222	240	837
223	241	835
224	242	834
225	243	833
226	244	830
227	244	829
228	246	828
229	247	827
230	248	826
231	249	824
232	249	822
233	250	821
234	252	820
235	253	819
236	254	818
237	255	817
238	256	815
239	257	814
240	257	812
241	258	811
242	259	809
243	260	808
244	262	807
245	263	806
246	264	805
247	265	804
248	266	802
249	267	801
250	268	799
251	269	799
252	270	798
253	271	796
254	272	795
255	273	793
256	273	791
257	274	790
258	275	789
259	276	787
260	277	786
261	278	785
262	279	784
263	280	783
264	281	782
265	282	780
266	284	779
267	285	779
268	286	778
269	287	777
270	288	776
271	289	774
272	290	773
273	291	772
274	293	772
275	294	771
276	295	770
277	296	769
278	297	768
279	298	767
280	299	765
281	300	764
282	301	763
283	302	762
284	303	761
285	304	760
286	305	758
287	306	757
288	307	755
289	308	755
290	309	753
291	310	752
292	311	751
293	312	750
294	313	748
295	314	747
296	315	747
297	316	745
298	317	744
299	318	743
300	319	741
301	320	740
302	321	739
303	322	738
304	323	737
305	324	736
306	325	734
307	326	733
308	327	732
309	328	731
310	329	730
311	330	729
312	331	728
313	332	727
314	333	725
315	334	724
316	337	726
